time,E,C
1870-01-16,-0.95122,-0.95308
1870-02-16,0.70918,-2.90027
1870-03-16,1.1538,-2.78057
1870-04-16,1.34047,-3.02375
1870-05-16,0.67983,-2.97031
1870-06-16,-0.59499,-1.95099
1870-07-16,-1.08806,-1.71776
1870-08-16,0.444,-1.78345
1870-09-16,-0.21598,-1.69539
1870-10-16,-1.01232,-1.78212
1870-11-16,-1.12406,-1.50892
1870-12-16,-0.8409,-1.63746
1871-01-16,-0.68253,-1.26356
1871-02-16,0.31949,-1.54105
1871-03-16,0.73326,-1.071
1871-04-16,0.59553,-0.6016
1871-05-16,-0.11235,-0.60825
1871-06-16,0.26257,-0.75498
1871-07-16,0.45107,-0.75637
1871-08-16,0.30558,-0.5383
1871-09-16,0.28668,-0.44285
1871-10-16,0.5017,-1.16618
1871-11-16,0.3913,-1.19232
1871-12-16,-0.60015,-0.86819
1872-01-16,-0.62871,-0.90929
1872-02-16,-0.64352,-0.89695
1872-03-16,-0.49218,-1.02616
1872-04-16,-0.52233,-1.13881
1872-05-16,-0.90079,-0.96525
1872-06-16,-0.83286,-1.11599
1872-07-16,-0.58649,-0.09625
1872-08-16,-0.09378,-1.71228
1872-09-16,0.25368,-1.70674
1872-10-16,0.25314,-2.33721
1872-11-16,-0.25902,-2.18842
1872-12-16,-1.79291,-1.63542
1873-01-16,-0.48546,-1.88493
1873-02-16,-1.49045,-1.81651
1873-03-16,-2.12015,-1.38139
1873-04-16,-2.5767,-0.93247
1873-05-16,-0.71199,-1.18864
1873-06-16,0.12956,-1.27738
1873-07-16,0.13361,-0.94002
1873-08-16,-0.13756,-0.56734
1873-09-16,-0.96964,-0.54272
1873-10-16,-1.06766,-1.15274
1873-11-16,-1.18867,-0.90318
1873-12-16,-1.13724,-0.82783
1874-01-16,-0.96374,-1.28091
1874-02-16,-1.14201,-1.55622
1874-03-16,-0.85795,-1.75899
1874-04-16,-0.92405,-1.49605
1874-05-16,-1.28342,-1.64173
1874-06-16,-1.96682,-1.05282
1874-07-16,-1.12287,-1.29647
1874-08-16,-0.5585,-1.34874
1874-09-16,-0.39696,-1.48054
1874-10-16,-1.64832,-1.13284
1874-11-16,-1.63012,-1.41249
1874-12-16,-1.42944,-1.3003
1875-01-16,-0.66226,-0.93587
1875-02-16,-0.22169,-1.08505
1875-03-16,-0.48433,-0.80126
1875-04-16,-0.88354,-0.96886
1875-05-16,-1.25781,-0.73906
1875-06-16,-1.24203,-0.82302
1875-07-16,-0.90153,-0.90241
1875-08-16,-0.72305,-1.11968
1875-09-16,-0.52665,-1.24222
1875-10-16,-0.34292,-1.50591
